iter	Passed	Remaining
0	0	69
1	1	64
2	1	63
3	2	60
4	3	58
5	3	55
6	4	53
7	4	52
8	5	51
9	5	49
10	6	49
11	6	48
12	7	49
13	8	49
14	8	48
15	9	48
16	9	47
17	10	47
18	10	46
19	12	49
20	12	48
21	13	46
22	13	45
23	14	45
24	14	44
25	15	42
26	15	41
27	15	40
28	16	39
29	16	39
30	17	38
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	35
37	21	34
38	21	34
39	22	34
40	23	33
41	24	33
42	24	33
43	25	32
44	26	32
45	27	31
46	27	31
47	28	30
48	29	30
49	29	29
50	30	28
51	30	28
52	31	27
53	31	26
54	31	26
55	32	25
56	32	24
57	33	24
58	33	23
59	34	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	17
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	52	1
98	53	0
99	53	0
